"Bairro","preco","Data","Dormitorios"
"FREGUESIA DO Ó","5887 ",2019-04-01,"2"
"HIGIENÓPOLIS","9141 ",2019-04-01,"2"
"INTERLAGOS","6032 ",2019-04-01,"2"
"IPIRANGA","7608 ",2019-04-01,"2"
"ITAIM BIBI","11428 ",2019-04-01,"2"
"ITAIM PAULISTA","3642 ",2019-04-01,"2"
"ITAQUERA","4345 ",2019-04-01,"2"
"JABAQUARA","6244 ",2019-04-01,"2"
"JAGUARÉ","6352 ",2019-04-01,"2"
"JARDIM AMÉRICA","11575 ",2019-04-01,"2"
"JARDIM MARAJOARA","6334 ",2019-04-01,"2"
"JARDIM PAULISTA","10557 ",2019-04-01,"2"
"JARDIM SAÚDE","6442 ",2019-04-01,"2"
"JARDINS","10748 ",2019-04-01,"2"
"LAPA","6393 ",2019-04-01,"2"
"LIMÃO","6018 ",2019-04-01,"2"
"MOEMA","10729 ",2019-04-01,"2"
"MOOCA","6593 ",2019-04-01,"2"
"MORUMBI","6205 ",2019-04-01,"2"
"PANAMBY","7269 ",2019-04-01,"2"
"PARAÍSO","9209 ",2019-04-01,"2"
"PENHA","5465 ",2019-04-01,"2"
"PERDIZES","8823 ",2019-04-01,"2"
"PINHEIROS","10704 ",2019-04-01,"2"
"PIRITUBA","5442 ",2019-04-01,"2"
"POMPÉIA","9579 ",2019-04-01,"2"
"REAL PARQUE","6763 ",2019-04-01,"2"
"SACOMÃ","5788 ",2019-04-01,"2"
"SANTA CECÍLIA","7578 ",2019-04-01,"2"
"SANTANA","6484 ",2019-04-01,"2"
"SÃO MATEUS","4394 ",2019-04-01,"2"
"SÃO MIGUEL PAULISTA","4014 ",2019-04-01,"2"
"SAPOPEMBA","4950 ",2019-04-01,"2"
"SAÚDE","8209 ",2019-04-01,"2"
"TATUAPÉ","7056 ",2019-04-01,"2"
"TUCURUVI","6213 ",2019-04-01,"2"
"VILA ANDRADE","6224 ",2019-04-01,"2"
"VILA CARRÃO","6232 ",2019-04-01,"2"
"VILA CLEMENTINO","8944 ",2019-04-01,"2"
"VILA FORMOSA","6289 ",2019-04-01,"2"
"VILA LEOPOLDINA","9312 ",2019-04-01,"2"
"VILA MARIA","6570 ",2019-04-01,"2"
"VILA MARIANA","9243 ",2019-04-01,"2"
"VILA MASCOTE","7304 ",2019-04-01,"2"
"VILA NOVA CONCEIÇÃO","11489 ",2019-04-01,"2"
"VILA OLÍMPIA","10971 ",2019-04-01,"2"
"VILA PRUDENTE","6182 ",2019-04-01,"2"
"VILA ROMANA","9555 ",2019-04-01,"2"
"VILA SÔNIA","6354 ",2019-04-01,"2"
"ACLIMAÇÃO","8562 ",2018-04-01,"3"
"ALTO DA BOA VISTA","8132 ",2018-04-01,"3"
"BARRA FUNDA","8650 ",2018-04-01,"3"
"BELA VISTA","7771 ",2018-04-01,"3"
"BELÉM","6521 ",2018-04-01,"3"
"BRÁS","6536 ",2018-04-01,"3"
"BROOKLIN PAULISTA","10152 ",2018-04-01,"3"
"BUTANTÃ","5963 ",2018-04-01,"3"
"CAMPO BELO","9404 ",2018-04-01,"3"
"CAMPO GRANDE","5949 ",2018-04-01,"3"
"CAMPO LIMPO","4609 ",2018-04-01,"3"
"CANGAÍBA","4696 ",2018-04-01,"3"
"CASA VERDE","6515 ",2018-04-01,"3"
